chr1	67000041	67208778	SGIP1
chr1	67000041	67208778	SGIP1
chr1	33547850	33585783	AZIN2
chr1	8378168	8404073	SLC45A1
chr1	48999844	50489468	AGBL4
chr1	16767256	16785385	NECAP2
chr1	16767256	16785491	NECAP2
chr1	33567493	33567493	AZIN2
chr1	16767256	16785385	NECAP2
chr1	33547850	33585783	AZIN2
chr1	25072044	25167428	CLIC4
chr1	33547850	33585783	AZIN2
chr1	33557656	33585783	AZIN2
chr1	33557656	33585783	AZIN2
chr1	33547850	33567493	AZIN2
chr1	92149295	92327088	TGFBR3
chr1	92351836	92351836	TGFBR3
chr1	92149295	92327088	TGFBR3
chr1	92149295	92327088	TGFBR3
chr1	100661810	100715376	DBT
chr1	175914288	176176114	RFWD2
chr1	175914288	176176114	RFWD2
chr1	150981108	151006710	PRUNE
chr1	175914288	176145087	RFWD2
chr1	150981108	151006710	PRUNE
chr1	150991069	151006710	PRUNE
chr1	150998016	151006710	PRUNE
chr1	184446643	184588690	C1orf21
chr1	151008189	151008189	PRUNE
chr1	151008189	151008189	PRUNE
chr1	151008189	151008189	PRUNE
chr1	151008189	151008189	PRUNE
chr1	226420201	226485422	LIN9
chr1	226420201	226496888	LIN9
chr1	226420201	226496888	LIN9
chr1	1018272	1026923	C1orf159
chr1	2075777	2116448	PRKCZ
chr1	6845590	7826551	CAMTA1
chr1	2005692	2116448	PRKCZ
chr1	2985823	3350375	PRDM16
chr1	2075777	2116448	PRKCZ
chr1	6285139	6295971	ICMT
chr1	1982069	2116448	PRKCZ
chr1	2985823	3350375	PRDM16
chr1	13328832	13698358	LOC391003
chr1	13632347	13635279	PRAMEF10
chr1	13632347	13635279	LOC645382
chr1	20960041	20977184	PINK1
chr1	20978686	20978686	PINK1-AS
chr1	22005909	22109450	USP48
chr1	23037475	23240063	EPHB2
chr1	23037475	23240363	EPHB2
chr1	23037475	23240063	EPHB2
chr1	23037475	23240063	EPHB2
chr1	29320000	29442309	EPB41
chr1	29313949	29391691	EPB41
chr1	29320000	29442309	EPB41
chr1	26212213	26231167	STMN1
